id	cited reference	citations	total link strength
13309	"delorme a, 2004, j neurosci meth, v134, p9, doi 10.1016/j.jneumeth.2003.10.009"	51	762
13378	"den ouden hem, 2009, cereb cortex, v19, p1175, doi 10.1093/cercor/bhn161"	22	348
13379	"den ouden hem, 2010, j neurosci, v30, p3210, doi 10.1523/jneurosci.4458-09.2010"	16	346
13380	"den ouden hem, 2012, front psychol, v3, doi 10.3389/fpsyg.2012.00548"	18	314
13544	"desimone r, 1995, annu rev neurosci, v18, p193, doi 10.1146/annurev.neuro.18.1.193"	11	195
13777	"diaz-mataix l, 2013, curr biol, v23, p467, doi 10.1016/j.cub.2013.01.053"	16	219
13819	"dickinson a, 1984, q j exp psychol-a, v36, p29, doi 10.1080/14640748408401502"	14	149
13842	"dickinson a., 2002, stevens hdb expt psy, v3, p497, doi 10.1002/0471214426.pas0312"	10	254
14202	"doeller cf, 2003, neuroimage, v20, p1270, doi 10.1016/s1053-8119(03)00389-6"	10	70
14299	"donchin e, 1981, psychophysiology, v18, p493, doi 10.1111/j.1469-8986.1981.tb01815.x"	11	194
14300	"donchin e, 1988, behav brain sci, v11, p357, doi 10.1017/s0140525x00058027"	25	557
14474	"doya k, 2002, neural networks, v15, p495, doi 10.1016/s0893-6080(02)00044-8"	10	191
14763	"duncanjohnson cc, 1977, psychophysiology, v14, p456, doi 10.1111/j.1469-8986.1977.tb01312.x"	15	375
15419	"eisenberg m, 2003, science, v301, p1102, doi 10.1126/science.1086881"	12	163
15442	"eisenberger ni, 2003, science, v302, p290, doi 10.1126/science.1089134"	11	106
15669	"elman jl, 1990, cognitive sci, v14, p179, doi 10.1207/s15516709cog1402_1"	13	102
15866	"eppinger b, 2008, neuropsychologia, v46, p521, doi 10.1016/j.neuropsychologia.2007.09.001"	28	683
15867	"eppinger b, 2009, psychophysiology, v46, p1043, doi 10.1111/j.1469-8986.2009.00838.x"	10	302
15872	"eppinger b, 2013, j neurosci, v33, p9905, doi 10.1523/jneurosci.2942-12.2013"	11	176
15953	"eriksen ba, 1974, percept psychophys, v16, p143, doi 10.3758/bf03203267"	14	167
16013	"esber gr, 2011, p roy soc b-biol sci, v278, p2553, doi 10.1098/rspb.2011.0836"	11	225
16225	"exton-mcguinness mtj, 2015, behav brain res, v278, p375, doi 10.1016/j.bbr.2014.10.011"	17	224
16357	"falkenstein m, 1991, electroen clin neuro, v78, p447, doi 10.1016/0013-4694(91)90062-9"	27	573
16361	"falkenstein m, 2000, biol psychol, v51, p87, doi 10.1016/s0301-0511(99)00031-9"	12	146
16548	"faul f, 2007, behav res methods, v39, p175, doi 10.3758/bf03193146"	34	249
16634	"federmeier kd, 1999, j mem lang, v41, p469, doi 10.1006/jmla.1999.2660"	12	77
16732	"feldman h, 2010, front hum neurosci, v4, doi 10.3389/fnhum.2010.00215"	35	611
16783	"felleman dj, 1991, cereb cortex, v1, p1, doi 10.1093/cercor/1.1.1"	12	141
16837	"ferdinand nk, 2012, j neurosci, v32, p12087, doi 10.1523/jneurosci.1410-12.2012"	21	547
16898	"fernandez rs, 2016, neurosci biobehav r, v68, p423, doi 10.1016/j.neubiorev.2016.06.004"	11	153
16988	"festinger l., 1957, theory cognitive dis"	23	90
17201	"fiorillo cd, 2003, science, v299, p1898, doi 10.1126/science.1077349"	38	866
17233	"fischer ag, 2013, neuron, v79, p1243, doi 10.1016/j.neuron.2013.07.006"	10	235
17538	"fletcher pc, 2001, nat neurosci, v4, p1043, doi 10.1038/nn733"	14	225
17540	"fletcher pc, 2009, nat rev neurosci, v10, p48, doi 10.1038/nrn2536"	32	478
17626	"foa eb, 1986, psychol bull, v99, p20, doi 10.1037/0033-2909.99.1.20"	17	91
17711	"folstein jr, 2008, psychophysiology, v45, p152, doi 10.1111/j.1469-8986.2007.00602.x"	20	327
17714	"folstein mf, 1975, j psychiat res, v12, p189, doi 10.1016/0022-3956(75)90026-6"	13	92
17904	"foti d, 2011, hum brain mapp, v32, p2207, doi 10.1002/hbm.21182"	19	529
18095	"frank mj, 2004, science, v306, p1940, doi 10.1126/science.1102941"	45	896
18096	"frank mj, 2005, j cognitive neurosci, v17, p51, doi 10.1162/0898929052880093"	17	326
18097	"frank mj, 2005, neuron, v47, p495, doi 10.1016/j.neuron.2005.06.020"	20	523
18100	"frank mj, 2006, psychol rev, v113, p300, doi 10.1037/0033-295x.113.2.300"	13	302
18104	"frank mj, 2007, p natl acad sci usa, v104, p16311, doi 10.1073/pnas.0706111104"	26	430
18386	"friedman d, 2001, neurosci biobehav r, v25, p355, doi 10.1016/s0149-7634(01)00019-7"	10	180
18520	"friston kj, 2005, philos t r soc b, v360, p815, doi 10.1098/rstb.2005.1622"	91	1113
18521	"friston kj, 2006, j physiol-paris, v100, p70, doi 10.1016/j.jphysparis.2006.10.001"	11	171
18530	"friston kj, 2009, philos t r soc b, v364, p1211, doi 10.1098/rstb.2008.0300"	23	277
18532	"friston kj, 2009, plos one, v4, doi 10.1371/journal.pone.0006421"	10	209
18533	"friston kj, 2009, trends cogn sci, v13, p293, doi 10.1016/j.tics.2009.04.005"	28	460
18534	"friston kj, 2010, biol cybern, v102, p227, doi 10.1007/s00422-010-0364-z"	13	209
18536	"friston kj, 2010, nat rev neurosci, v11, p127, doi 10.1038/nrn2787"	54	683
18539	"friston kj, 2011, biol cybern, v104, p137, doi 10.1007/s00422-011-0424-z"	10	171
18546	"friston kj, 2012, plos comput biol, v8, doi 10.1371/journal.pcbi.1002327"	18	311
18978	"gallistel cr, 2000, psychol rev, v107, p289, doi 10.1037/0033-295x.107.2.289"	11	220
19195	"garrido mi, 2008, neuroimage, v42, p936, doi 10.1016/j.neuroimage.2008.05.018"	13	155
19196	"garrido mi, 2009, clin neurophysiol, v120, p453, doi 10.1016/j.clinph.2008.11.029"	26	281
19202	"garrison j, 2013, neurosci biobehav r, v37, p1297, doi 10.1016/j.neubiorev.2013.03.023"	21	425
19385	"gehring wj, 1993, psychol sci, v4, p385, doi 10.1111/j.1467-9280.1993.tb00586.x"	53	1015
19389	"gehring wj, 2002, science, v295, p2279, doi 10.1126/science.1066893"	66	1436
20060	"glascher j, 2009, cereb cortex, v19, p483, doi 10.1093/cercor/bhn098"	10	271
20062	"glascher j, 2010, neuron, v66, p585, doi 10.1016/j.neuron.2010.04.016"	34	698
20153	"glimcher pw, 2011, p natl acad sci usa, v108, p15647, doi 10.1073/pnas.1014269108"	19	309
20180	"gluck ma, 1988, j exp psychol gen, v117, p227, doi 10.1037/0096-3445.117.3.227"	11	117
20736	"gottfried ja, 2003, science, v301, p1104, doi 10.1126/science.1087919"	10	218
20853	"grace aa, 1991, neuroscience, v41, p1, doi 10.1016/0306-4522(91)90196-u"	10	206
20870	"gradin vb, 2011, brain, v134, p1751, doi 10.1093/brain/awr059"	15	259
20991	"gratton g, 1983, electroen clin neuro, v55, p468, doi 10.1016/0013-4694(83)90135-9"	40	684
21218	"greenhouse sw, 1959, psychometrika, v24, p95, doi 10.1007/bf02289823"	12	97
21240	"greenwald ag, 1998, j pers soc psychol, v74, p1464, doi 10.1037/0022-3514.74.6.1464"	12	15
21275	"gregory rl, 1980, philos t roy soc b, v290, p181, doi 10.1098/rstb.1980.0090"	12	207
21401	"grill-spector k, 2006, trends cogn sci, v10, p14, doi 10.1016/j.tics.2005.11.006"	18	277
21610	"grush r, 2004, behav brain sci, v27, p377, doi 10.1017/s0140525x04000093"	10	108
21907	"haber sn, 2000, j neurosci, v20, p2369"	11	289
21912	"haber sn, 2010, neuropsychopharmacol, v35, p4, doi 10.1038/npp.2009.129"	20	399
21943	"hackel ls, 1992, j pers soc psychol, v62, p944, doi 10.1037/0022-3514.62.6.944"	18	74
21985	"haenschel c, 2005, j neurosci, v25, p10494, doi 10.1523/jneurosci.1227-05.2005"	10	126
22105	"hajcak g, 2003, psychophysiology, v40, p895, doi 10.1111/1469-8986.00107"	13	191
22107	"hajcak g, 2005, psychophysiology, v42, p151, doi 10.1111/j.1469-8986.2005.00270.x"	11	269
22108	"hajcak g, 2005, psychophysiology, v42, p161, doi 10.1111/j.1469-8986.2005.00278.x"	34	844
22109	"hajcak g, 2006, biol psychol, v71, p148, doi 10.1016/j.biopsycho.2005.04.001"	44	1065
22111	"hajcak g, 2007, psychophysiology, v44, p905, doi 10.1111/j.1469-8986.2007.00567.x"	42	1014
22127	"hajihosseini a, 2013, psychophysiology, v50, p550, doi 10.1111/psyp.12040"	11	261
22296	"hamid aa, 2016, nat neurosci, v19, p117, doi 10.1038/nn.4173"	10	140
22347	"hammerer d, 2011, j cognitive neurosci, v23, p579, doi 10.1162/jocn.2010.21475"	11	224
22380	"hampton an, 2006, j neurosci, v26, p8360, doi 10.1523/jneurosci.1010-06.2006"	16	431
22383	"hampton an, 2008, p natl acad sci usa, v105, p6741, doi 10.1073/pnas.0711099105"	15	233
22574	"hare ta, 2008, j neurosci, v28, p5623, doi 10.1523/jneurosci.1309-08.2008"	15	294
22847	"haruno m, 2006, j neurophysiol, v95, p948, doi 10.1152/jn.00382.2005"	11	239
23014	"hauser tu, 2014, neuroimage, v84, p159, doi 10.1016/j.neuroimage.2013.08.028"	23	567
23016	"hauser tu, 2015, neuroimage, v104, p347, doi 10.1016/j.neuroimage.2014.09.018"	11	157
23097	"hayden by, 2011, j neurosci, v31, p4178, doi 10.1523/jneurosci.4652-10.2011"	20	514
23231	"heaton r. k., 1993, wisconsin card sorti"	10	29
23383	"heine sj, 2006, pers soc psychol rev, v10, p88, doi 10.1207/s15327957pspr1002_1"	11	63
23998	"higgins et, 1987, psychol rev, v94, p319, doi 10.1037/0033-295x.94.3.319"	13	51
24230	"hirschi t., 1969, causes delinquency"	10	5
24564	"hohwy j, 2008, cognition, v108, p687, doi 10.1016/j.cognition.2008.05.010"	14	236
24578	"hohwy j., 2013, predictive mind"	14	172
24681	"hollerman jr, 1998, nat neurosci, v1, p304"	26	547
24784	"holroyd cb, 2002, psychol rev, v109, p679, doi [10.1037//0033-295x.109.4.679 10.1037/0033-295x.109.4.679]"	139	2816
24786	"holroyd cb, 2003, neuroreport, v14, p2481, doi 10.1097/00001756-200312190-00037"	38	953
24790	"holroyd cb, 2004, errors conflicts bra, p211"	10	246
24791	"holroyd cb, 2004, nat neurosci, v7, p497, doi 10.1038/nn1238"	19	451
24792	"holroyd cb, 2004, psychophysiology, v41, p245, doi 10.1111/j.1469-8986.2004.00152.x"	24	609
24794	"holroyd cb, 2006, brain res, v1105, p93, doi 10.1016/j.brainres.2005.12.015"	26	628
24795	"holroyd cb, 2007, psychophysiology, v44, p913, doi 10.1111/j.1469-8986.2007.00561.x"	39	853
24796	"holroyd cb, 2008, cortex, v44, p548, doi 10.1016/j.cortex.2007.08.013"	11	275
24798	"holroyd cb, 2008, psychophysiology, v45, p688, doi 10.1111/j.1469-8986.2008.00668.x"	43	1140
24799	"holroyd cb, 2009, cogn affect behav ne, v9, p59, doi 10.3758/cabn.9.1.59"	33	871
24801	"holroyd cb, 2011, neuroreport, v22, p249, doi 10.1097/wnr.0b013e328345441d"	17	586
24802	"holroyd cb, 2012, trends cogn sci, v16, p122, doi 10.1016/j.tics.2011.12.008"	21	490
24873	"hommel b, 2001, behav brain sci, v24, p849, doi 10.1017/s0140525x01000103"	10	119
25101	"horvitz jc, 2000, neuroscience, v96, p651, doi 10.1016/s0306-4522(00)00019-1"	12	333
25184	"houk jc, 1995, models inform proces, p249"	12	261
25355	"hu lt, 1999, struct equ modeling, v6, p1, doi 10.1080/10705519909540118"	18	12
25870	"iglesias s, 2013, neuron, v80, p519, doi 10.1016/j.neuron.2013.09.009"	16	251
26105	"ito s, 2003, science, v302, p120, doi 10.1126/science.1087847"	12	338
26429	"james w., 1890, principles psychol"	12	102
26772	"jessup rk, 2010, j neurosci, v30, p3467, doi 10.1523/jneurosci.4130-09.2010"	11	319
26876	"jocham g, 2011, j neurosci, v31, p1606, doi 10.1523/jneurosci.3904-10.2011"	12	208
26887	"joel d, 2002, neural networks, v15, p535, doi 10.1016/s0893-6080(02)00047-3"	12	426
27592	"kable jw, 2007, nat neurosci, v10, p1625, doi 10.1038/nn2007"	16	387
27673	"kahneman d, 1979, econometrica, v47, p263, doi 10.2307/1914185"	31	395
27692	"kahneman d, 2011, thinking fast slow"	10	106
27734	"kakade s, 2002, neural networks, v15, p549, doi 10.1016/s0893-6080(02)00048-5"	11	296
27795	"kalmuss d, 1992, j marriage fam, v54, p516, doi 10.2307/353238"	16	53
27829	"kamin l. j, 1969, punishment aversive, p279"	17	237
27832	"kamin l. j., 1968, miam s pred beh av s, p9"	15	220
27883	"kanai r, 2015, philos t r soc b, v370, p69, doi 10.1098/rstb.2014.0169"	11	172
28041	"kapur s, 2003, am j psychiat, v160, p13, doi 10.1176/appi.ajp.160.1.13"	23	345
28170	"kass re, 1995, j am stat assoc, v90, p773, doi 10.1080/01621459.1995.10476572"	10	155
28677	"kennerley sw, 2006, nat neurosci, v9, p940, doi 10.1038/nn1724"	16	449
28679	"kennerley sw, 2009, j cognitive neurosci, v21, p1162, doi 10.1162/jocn.2009.21100"	11	248
28689	"kenny d. a., 2006, dyadic data anal"	10	10
28762	"kerns jg, 2004, science, v303, p1023, doi 10.1126/science.1089910"	20	410
28916	"kiebel sj, 2008, plos comput biol, v4, doi 10.1371/journal.pcbi.1000209"	14	188
28993	"kilner james m, 2007, cogn process, v8, p159, doi 10.1007/s10339-007-0170-2"	11	193
29022	"kim h, 2006, plos biol, v4, p1453, doi 10.1371/journal.pbio.0040233"	13	337
29159	"kindt m, 2009, nat neurosci, v12, p256, doi 10.1038/nn.2271"	12	152
29192	"king-casas b, 2005, science, v308, p78, doi 10.1126/science.1108062"	11	205
29476	"klein ta, 2007, science, v318, p1642, doi 10.1126/science.1145044"	10	204
29585	"klucharev v, 2009, neuron, v61, p140, doi 10.1016/j.neuron.2008.11.027"	15	223
29658	"knill dc, 2004, trends neurosci, v27, p712, doi 10.1016/j.tins.2004.10.007"	17	251
29690	"knowlton bj, 1996, science, v273, p1399, doi 10.1126/science.273.5280.1399"	14	296
29699	"knutson b, 2001, j neurosci, v21, doi 10.1523/jneurosci.21-16-j0002.2001"	21	445
29700	"knutson b, 2001, neuroreport, v12, p3683, doi 10.1097/00001756-200112040-00016"	12	287
29703	"knutson b, 2005, curr opin neurol, v18, p411, doi 10.1097/01.wco.0000173463.24758.f6"	12	271
29704	"knutson b, 2005, j neurosci, v25, p4806, doi 10.1523/jneurosci.0642-05.2005"	19	464
29940	"kok p, 2012, cereb cortex, v22, p2197, doi 10.1093/cercor/bhr310"	14	280
29941	"kok p, 2012, neuron, v75, p265, doi 10.1016/j.neuron.2012.04.034"	11	202
30017	"konorski j., 1967, integrative activity"	12	171
30190	"koster-hale j, 2013, neuron, v79, p836, doi 10.1016/j.neuron.2013.08.020"	13	223
30441	"kreussel l, 2012, psychophysiology, v49, p207, doi 10.1111/j.1469-8986.2011.01291.x"	11	349
30609	"kruschke jk, 1992, psychol rev, v99, p22, doi 10.1037/0033-295x.99.1.22"	10	117
30617	"kruschke jk, 2005, j exp psychol learn, v31, p830, doi 10.1037/0278-7393.31.5.830"	11	111
30788	"kumar p, 2008, brain, v131, p2084, doi 10.1093/brain/awn136"	12	227
30933	"kutas m, 1980, science, v207, p203, doi 10.1126/science.7350657"	12	125
30937	"kutas m, 1984, nature, v307, p161, doi 10.1038/307161a0"	14	113
30941	"kutas m, 2000, trends cogn sci, v4, p463, doi 10.1016/s1364-6613(00)01560-6"	10	60
30943	"kutas m, 2011, annu rev psychol, v62, p621, doi 10.1146/annurev.psych.093008.131123"	16	109
31612	"lau b, 2005, j exp anal behav, v84, p555, doi 10.1901/jeab.2005.110-04"	10	184
31767	"lawson rp, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00302"	13	186
31789	"lazarus rs, 1984, stress appraisal cop"	10	10
31813	"le pelley me, 2004, q j exp psychol-b, v57, p193, doi 10.1080/02724990344000141"	19	275
32024	"lee jlc, 2006, j neurosci, v26, p10051, doi 10.1523/jneurosci.2466-06.2006"	10	124
32028	"lee jlc, 2009, trends neurosci, v32, p413, doi 10.1016/j.tins.2009.05.002"	13	172
32078	"lee sw, 2014, neuron, v81, p687, doi 10.1016/j.neuron.2013.11.028"	12	225
32088	"lee ts, 2003, j opt soc am a, v20, p1434, doi 10.1364/josaa.20.001434"	18	351
32752	"li j, 2011, nat neurosci, v14, p1250, doi 10.1038/nn.2904"	12	247
33238	"lisman je, 2005, neuron, v46, p703, doi 10.1016/j.neuron.2005.05.002"	19	339
