label	replace by
bouton me, 1983, j exp psychol anim b, v9, p248, doi 10.1037/0097-7403.9.3.248	bouton (1983)
bouton me, 1993, psychol bull, v114, p80, doi 10.1037/0033-2909.114.1.80	bouton (1993)
bouton me, 2002, biol psychiat, v52, p976, doi 10.1016/s0006-3223(02)01546-9	bouton (2002)
bouton me, 2004, learn memory, v11, p485, doi 10.1101/lm.78804	bouton (2004)
brainard dh, 1997, spatial vision, v10, p433, doi 10.1163/156856897x00357	brainard (1997)
brischoux f, 2009, p natl acad sci usa, v106, p4894, doi 10.1073/pnas.0811507106	brischoux (2009)
bromberg-martin es, 2010, neuron, v68, p815, doi 10.1016/j.neuron.2010.11.022	bromberg-martin (2010)
brown h, 2013, cogn process, v14, p411, doi 10.1007/s10339-013-0571-3	brown (2013)
brown jw, 2005, science, v307, p1118, doi 10.1126/science.1105783	brown (2005)
bubic a, 2010, front hum neurosci, v4, doi 10.3389/fnhum.2010.00025	bubic (2010)
burgoon jk, 1988, commun monogr, v55, p58, doi 10.1080/03637758809376158	burgoon (1988)
burke cj, 2010, p natl acad sci usa, v107, p14431, doi 10.1073/pnas.1003111107	burke (2010)
bush g, 2000, trends cogn sci, v4, p215, doi 10.1016/s1364-6613(00)01483-2	bush (2000)
bush rr, 1951, psychol rev, v58, p313, doi 10.1037/h0054388	bush (1951)
bustos sg, 2009, neuropsychopharmacol, v34, p446, doi 10.1038/npp.2008.75	bustos (2009)
campbell-meiklejohn dk, 2010, curr biol, v20, p1165, doi 10.1016/j.cub.2010.04.055	campbell-meiklejohn (2010)
carlson jm, 2011, neuroimage, v57, p1608, doi 10.1016/j.neuroimage.2011.05.037	carlson (2011)
carter cs, 1998, science, v280, p747, doi 10.1126/science.280.5364.747	carter (1998)
carver cs, 1994, j pers soc psychol, v67, p319, doi 10.1037/0022-3514.67.2.319	carver (1994)
cavanagh jf, 2010, neuroimage, v49, p3198, doi 10.1016/j.neuroimage.2009.11.080	cavanagh (2010)
cavanagh jf, 2012, cereb cortex, v22, p2575, doi 10.1093/cercor/bhr332	cavanagh (2014b)
cavanagh jf, 2012, psychophysiology, v49, p220, doi 10.1111/j.1469-8986.2011.01293.x	cavanagh (2014a)
cavanagh jf, 2014, trends cogn sci, v18, p414, doi 10.1016/j.tics.2014.04.012	cavanagh (2014)
chase hw, 2011, j cognitive neurosci, v23, p936, doi 10.1162/jocn.2010.21456	chase (2011)
chowdhury r, 2013, nat neurosci, v16, p648, doi 10.1038/nn.3364	chowdhury (2013)
clark a, 2013, behav brain sci, v36, p181, doi 10.1017/s0140525x12000477	clark (2013)
cohen j, 1983, appl multiple regres	cohen (1983)
cohen j, 1992, psychol bull, v112, p155, doi 10.1037/0033-2909.112.1.155	cohen (1992)
cohen j., 1988, stat power anal beha	cohen (1988)
cohen j., 2003, appl multiple regres	cohen (2003)
cohen jr, 2010, nat neurosci, v13, p669, doi 10.1038/nn.2558	cohen (2010)
cohen jy, 2012, nature, v482, p85, doi 10.1038/nature10754	cohen (2012)
cohen mx, 2007, j neurosci, v27, p371, doi 10.1523/jneurosci.4421-06.2007	cohen (2007a)
cohen mx, 2007, neuroimage, v35, p968, doi 10.1016/j.neuroimage.2006.11.056	cohen (2007b)
cohen mx, 2011, trends cogn sci, v15, p558, doi 10.1016/j.tics.2011.10.004	cohen (2011)
collins age, 2012, eur j neurosci, v35, p1024, doi 10.1111/j.1460-9568.2011.07980.x	collins (2012)
cools r, 2002, j neurosci, v22, p4563, doi 10.1523/jneurosci.22-11-04563.2002	cools (2002)
cooper jc, 2012, j cognitive neurosci, v24, p106, doi 10.1162/jocn_a_00114	cooper (2012)
corbetta m, 2002, nat rev neurosci, v3, p201, doi 10.1038/nrn755	corbetta (2002)
corlett pr, 2004, neuron, v44, p877, doi 10.1016/j.neuron.2004.11.022	corlett (2004)
corlett pr, 2007, brain, v130, p2387, doi 10.1093/brain/awm173	corlett (2007b)
corlett pr, 2007, j psychopharmacol, v21, p238, doi 10.1177/0269881107077716	corlett (2007a)
corlett pr, 2009, psychopharmacology, v206, p515, doi 10.1007/s00213-009-1561-0	corlett (2009)
corlett pr, 2010, prog neurobiol, v92, p345, doi 10.1016/j.pneurobio.2010.06.007	corlett (2010)
courville ac, 2006, trends cogn sci, v10, p294, doi 10.1016/j.tics.2006.05.004	courville (2006)
cowan cp, 1985, j fam issues, v6, p451, doi 10.1177/019251385006004004	cowan (1985)
craig ad, 2009, nat rev neurosci, v10, p59, doi 10.1038/nrn2555	craig (2009)
craske mg, 2008, behav res ther, v46, p5, doi 10.1016/j.brat.2007.10.003	craske (2008)
craske mg, 2014, behav res ther, v58, p10, doi 10.1016/j.brat.2014.04.006	craske (2014)
d'ardenne k, 2008, science, v319, p1264, doi 10.1126/science.1150605	d'ardenne (2008)
danielmeier c, 2011, front psychol, v2, doi 10.3389/fpsyg.2011.00233	danielmeier (2011)
daw nd, 2002, neural networks, v15, p603, doi 10.1016/s0893-6080(02)00052-7	daw (2002)
daw nd, 2005, nat neurosci, v8, p1704, doi 10.1038/nn1560	daw (2005)
daw nd, 2006, curr opin neurobiol, v16, p199, doi 10.1016/j.conb.2006.03.006	daw (2006a)
daw nd, 2006, nature, v441, p876, doi 10.1038/nature04766	daw (2006b)
daw nd, 2006, neural comput, v18, p1637, doi 10.1162/neco.2006.18.7.1637	daw (2006c)
daw nd, 2011, neuron, v69, p1204, doi 10.1016/j.neuron.2011.02.027	daw (2011)
dayan p, 1995, neural comput, v7, p889, doi 10.1162/neco.1995.7.5.889	dayan (1995)
dayan p, 2000, nat neurosci, v3, p1218, doi 10.1038/81504	dayan (2000)
dehaene s, 1994, psychol sci, v5, p303, doi 10.1111/j.1467-9280.1994.tb00630.x	dehaene (1994)
delgado mr, 2000, j neurophysiol, v84, p3072	delgado (2000)
delgado mr, 2003, cogn affect behav ne, v3, p27, doi 10.3758/cabn.3.1.27	delgado (2003)
delgado mr, 2005, nat neurosci, v8, p1611, doi 10.1038/nn1575	delgado (2005b)
delgado mr, 2005, neuroimage, v24, p862, doi 10.1016/j.neuroimage.2004.10.002	delgado (2005a)
delgado mr, 2007, ann ny acad sci, v1104, p70, doi 10.1196/annals.1390.002	delgado (2007)
delgado mr, 2008, philos t r soc b, v363, p3787, doi 10.1098/rstb.2008.0161	delgado (2008)
delong ka, 2005, nat neurosci, v8, p1117, doi 10.1038/nn1504	delong (2005)
delorme a, 2004, j neurosci meth, v134, p9, doi 10.1016/j.jneumeth.2003.10.009	delorme (2004)
den ouden hem, 2009, cereb cortex, v19, p1175, doi 10.1093/cercor/bhn161	den (2009)
den ouden hem, 2010, j neurosci, v30, p3210, doi 10.1523/jneurosci.4458-09.2010	den (2010)
den ouden hem, 2012, front psychol, v3, doi 10.3389/fpsyg.2012.00548	den (2012)
desimone r, 1995, annu rev neurosci, v18, p193, doi 10.1146/annurev.neuro.18.1.193	desimone (1995)
diaz-mataix l, 2013, curr biol, v23, p467, doi 10.1016/j.cub.2013.01.053	diaz-mataix (2013)
dickinson a, 1984, q j exp psychol-a, v36, p29, doi 10.1080/14640748408401502	dickinson (1984)
dickinson a., 2002, stevens hdb expt psy, v3, p497, doi 10.1002/0471214426.pas0312	dickinson (2002)
doeller cf, 2003, neuroimage, v20, p1270, doi 10.1016/s1053-8119(03)00389-6	doeller (2003)
donchin e, 1981, psychophysiology, v18, p493, doi 10.1111/j.1469-8986.1981.tb01815.x	donchin (1981)
donchin e, 1988, behav brain sci, v11, p357, doi 10.1017/s0140525x00058027	donchin (1988)
doya k, 2002, neural networks, v15, p495, doi 10.1016/s0893-6080(02)00044-8	doya (2002)
duncanjohnson cc, 1977, psychophysiology, v14, p456, doi 10.1111/j.1469-8986.1977.tb01312.x	duncanjohnson (1977)
eisenberg m, 2003, science, v301, p1102, doi 10.1126/science.1086881	eisenberg (2003)
eisenberger ni, 2003, science, v302, p290, doi 10.1126/science.1089134	eisenberger (2003)
elman jl, 1990, cognitive sci, v14, p179, doi 10.1207/s15516709cog1402_1	elman (1990)
eppinger b, 2008, neuropsychologia, v46, p521, doi 10.1016/j.neuropsychologia.2007.09.001	eppinger (2008)
eppinger b, 2009, psychophysiology, v46, p1043, doi 10.1111/j.1469-8986.2009.00838.x	eppinger (2009)
eppinger b, 2013, j neurosci, v33, p9905, doi 10.1523/jneurosci.2942-12.2013	eppinger (2013)
eriksen ba, 1974, percept psychophys, v16, p143, doi 10.3758/bf03203267	eriksen (1974)
esber gr, 2011, p roy soc b-biol sci, v278, p2553, doi 10.1098/rspb.2011.0836	esber (2011)
exton-mcguinness mtj, 2015, behav brain res, v278, p375, doi 10.1016/j.bbr.2014.10.011	exton-mcguinness (2015)
falkenstein m, 1991, electroen clin neuro, v78, p447, doi 10.1016/0013-4694(91)90062-9	falkenstein (1991)
falkenstein m, 2000, biol psychol, v51, p87, doi 10.1016/s0301-0511(99)00031-9	falkenstein (2000)
faul f, 2007, behav res methods, v39, p175, doi 10.3758/bf03193146	faul (2007)
federmeier kd, 1999, j mem lang, v41, p469, doi 10.1006/jmla.1999.2660	federmeier (1999)
feldman h, 2010, front hum neurosci, v4, doi 10.3389/fnhum.2010.00215	feldman (2010)
felleman dj, 1991, cereb cortex, v1, p1, doi 10.1093/cercor/1.1.1	felleman (1991)
ferdinand nk, 2012, j neurosci, v32, p12087, doi 10.1523/jneurosci.1410-12.2012	ferdinand (2012)
fernandez rs, 2016, neurosci biobehav r, v68, p423, doi 10.1016/j.neubiorev.2016.06.004	fernandez (2016)
festinger l., 1957, theory cognitive dis	festinger (1957)
fiorillo cd, 2003, science, v299, p1898, doi 10.1126/science.1077349	fiorillo (2003)
fischer ag, 2013, neuron, v79, p1243, doi 10.1016/j.neuron.2013.07.006	fischer (2013)
fletcher pc, 2001, nat neurosci, v4, p1043, doi 10.1038/nn733	fletcher (2001)
fletcher pc, 2009, nat rev neurosci, v10, p48, doi 10.1038/nrn2536	fletcher (2009)
foa eb, 1986, psychol bull, v99, p20, doi 10.1037/0033-2909.99.1.20	foa (1986)
folstein jr, 2008, psychophysiology, v45, p152, doi 10.1111/j.1469-8986.2007.00602.x	folstein (2008)
folstein mf, 1975, j psychiat res, v12, p189, doi 10.1016/0022-3956(75)90026-6	folstein (1975)
foti d, 2011, hum brain mapp, v32, p2207, doi 10.1002/hbm.21182	foti (2011)
frank mj, 2004, science, v306, p1940, doi 10.1126/science.1102941	frank (2004)
frank mj, 2005, j cognitive neurosci, v17, p51, doi 10.1162/0898929052880093	frank (2005a)
frank mj, 2005, neuron, v47, p495, doi 10.1016/j.neuron.2005.06.020	frank (2005b)
frank mj, 2006, psychol rev, v113, p300, doi 10.1037/0033-295x.113.2.300	frank (2006)
frank mj, 2007, p natl acad sci usa, v104, p16311, doi 10.1073/pnas.0706111104	frank (2007)
friedman d, 2001, neurosci biobehav r, v25, p355, doi 10.1016/s0149-7634(01)00019-7	friedman (2001)
friston kj, 2005, philos t r soc b, v360, p815, doi 10.1098/rstb.2005.1622	friston (2005)
friston kj, 2006, j physiol-paris, v100, p70, doi 10.1016/j.jphysparis.2006.10.001	friston (2006)
friston kj, 2009, philos t r soc b, v364, p1211, doi 10.1098/rstb.2008.0300	friston (2009a)
friston kj, 2009, plos one, v4, doi 10.1371/journal.pone.0006421	friston (2009c)
friston kj, 2009, trends cogn sci, v13, p293, doi 10.1016/j.tics.2009.04.005	friston (2009b)
friston kj, 2010, biol cybern, v102, p227, doi 10.1007/s00422-010-0364-z	friston (2010b)
friston kj, 2010, nat rev neurosci, v11, p127, doi 10.1038/nrn2787	friston (2010a)
friston kj, 2011, biol cybern, v104, p137, doi 10.1007/s00422-011-0424-z	friston (2011)
friston kj, 2012, plos comput biol, v8, doi 10.1371/journal.pcbi.1002327	friston (2012)
gallistel cr, 2000, psychol rev, v107, p289, doi 10.1037/0033-295x.107.2.289	gallistel (2000)
garrido mi, 2008, neuroimage, v42, p936, doi 10.1016/j.neuroimage.2008.05.018	garrido (2008)
garrido mi, 2009, clin neurophysiol, v120, p453, doi 10.1016/j.clinph.2008.11.029	garrido (2009)
garrison j, 2013, neurosci biobehav r, v37, p1297, doi 10.1016/j.neubiorev.2013.03.023	garrison (2013)
gehring wj, 1993, psychol sci, v4, p385, doi 10.1111/j.1467-9280.1993.tb00586.x	gehring (1993)
gehring wj, 2002, science, v295, p2279, doi 10.1126/science.1066893	gehring (2002)
glascher j, 2009, cereb cortex, v19, p483, doi 10.1093/cercor/bhn098	glascher (2009)
glascher j, 2010, neuron, v66, p585, doi 10.1016/j.neuron.2010.04.016	glascher (2010)
glimcher pw, 2011, p natl acad sci usa, v108, p15647, doi 10.1073/pnas.1014269108	glimcher (2011)
gluck ma, 1988, j exp psychol gen, v117, p227, doi 10.1037/0096-3445.117.3.227	gluck (1988)
gottfried ja, 2003, science, v301, p1104, doi 10.1126/science.1087919	gottfried (2003)
grace aa, 1991, neuroscience, v41, p1, doi 10.1016/0306-4522(91)90196-u	grace (1991)
gradin vb, 2011, brain, v134, p1751, doi 10.1093/brain/awr059	gradin (2011)
gratton g, 1983, electroen clin neuro, v55, p468, doi 10.1016/0013-4694(83)90135-9	gratton (1983)
greenhouse sw, 1959, psychometrika, v24, p95, doi 10.1007/bf02289823	greenhouse (1959)
greenwald ag, 1998, j pers soc psychol, v74, p1464, doi 10.1037/0022-3514.74.6.1464	greenwald (1998)
gregory rl, 1980, philos t roy soc b, v290, p181, doi 10.1098/rstb.1980.0090	gregory (1980)
grill-spector k, 2006, trends cogn sci, v10, p14, doi 10.1016/j.tics.2005.11.006	grill-spector (2006)
grush r, 2004, behav brain sci, v27, p377, doi 10.1017/s0140525x04000093	grush (2004)
haber sn, 2000, j neurosci, v20, p2369	haber (2000)
haber sn, 2010, neuropsychopharmacol, v35, p4, doi 10.1038/npp.2009.129	haber (2010)
hackel ls, 1992, j pers soc psychol, v62, p944, doi 10.1037/0022-3514.62.6.944	hackel (1992)
haenschel c, 2005, j neurosci, v25, p10494, doi 10.1523/jneurosci.1227-05.2005	haenschel (2005)
hajcak g, 2003, psychophysiology, v40, p895, doi 10.1111/1469-8986.00107	hajcak (2003)
hajcak g, 2005, psychophysiology, v42, p151, doi 10.1111/j.1469-8986.2005.00270.x	hajcak (2005a)
hajcak g, 2005, psychophysiology, v42, p161, doi 10.1111/j.1469-8986.2005.00278.x	hajcak (2005b)
hajcak g, 2006, biol psychol, v71, p148, doi 10.1016/j.biopsycho.2005.04.001	hajcak (2006)
hajcak g, 2007, psychophysiology, v44, p905, doi 10.1111/j.1469-8986.2007.00567.x	hajcak (2007)
hajihosseini a, 2013, psychophysiology, v50, p550, doi 10.1111/psyp.12040	hajihosseini (2013)
hamid aa, 2016, nat neurosci, v19, p117, doi 10.1038/nn.4173	hamid (2016)
hammerer d, 2011, j cognitive neurosci, v23, p579, doi 10.1162/jocn.2010.21475	hammerer (2011)
hampton an, 2006, j neurosci, v26, p8360, doi 10.1523/jneurosci.1010-06.2006	hampton (2006)
hampton an, 2008, p natl acad sci usa, v105, p6741, doi 10.1073/pnas.0711099105	hampton (2008)
hare ta, 2008, j neurosci, v28, p5623, doi 10.1523/jneurosci.1309-08.2008	hare (2008)
haruno m, 2006, j neurophysiol, v95, p948, doi 10.1152/jn.00382.2005	haruno (2006)
hauser tu, 2014, neuroimage, v84, p159, doi 10.1016/j.neuroimage.2013.08.028	hauser (2014)
hauser tu, 2015, neuroimage, v104, p347, doi 10.1016/j.neuroimage.2014.09.018	hauser (2015)
hayden by, 2011, j neurosci, v31, p4178, doi 10.1523/jneurosci.4652-10.2011	hayden (2011)
heaton r. k., 1993, wisconsin card sorti	heaton (1993)
heine sj, 2006, pers soc psychol rev, v10, p88, doi 10.1207/s15327957pspr1002_1	heine (2006)
higgins et, 1987, psychol rev, v94, p319, doi 10.1037/0033-295x.94.3.319	higgins (1987)
hirschi t., 1969, causes delinquency	hirschi (1969)
hohwy j, 2008, cognition, v108, p687, doi 10.1016/j.cognition.2008.05.010	hohwy (2008)
hohwy j., 2013, predictive mind	hohwy (2013)
hollerman jr, 1998, nat neurosci, v1, p304	hollerman (1998)
holroyd cb, 2002, psychol rev, v109, p679, doi [10.1037//0033-295x.109.4.679 10.1037/0033-295x.109.4.679]	holroyd (2002)
holroyd cb, 2003, neuroreport, v14, p2481, doi 10.1097/00001756-200312190-00037	holroyd (2003)
holroyd cb, 2004, errors conflicts bra, p211	holroyd (2004c)
holroyd cb, 2004, nat neurosci, v7, p497, doi 10.1038/nn1238	holroyd (2004b)
holroyd cb, 2004, psychophysiology, v41, p245, doi 10.1111/j.1469-8986.2004.00152.x	holroyd (2004a)
holroyd cb, 2006, brain res, v1105, p93, doi 10.1016/j.brainres.2005.12.015	holroyd (2006)
holroyd cb, 2007, psychophysiology, v44, p913, doi 10.1111/j.1469-8986.2007.00561.x	holroyd (2007)
holroyd cb, 2008, cortex, v44, p548, doi 10.1016/j.cortex.2007.08.013	holroyd (2008a)
holroyd cb, 2008, psychophysiology, v45, p688, doi 10.1111/j.1469-8986.2008.00668.x	holroyd (2008b)
holroyd cb, 2009, cogn affect behav ne, v9, p59, doi 10.3758/cabn.9.1.59	holroyd (2009)
holroyd cb, 2011, neuroreport, v22, p249, doi 10.1097/wnr.0b013e328345441d	holroyd (2011)
holroyd cb, 2012, trends cogn sci, v16, p122, doi 10.1016/j.tics.2011.12.008	holroyd (2012)
hommel b, 2001, behav brain sci, v24, p849, doi 10.1017/s0140525x01000103	hommel (2001)
horvitz jc, 2000, neuroscience, v96, p651, doi 10.1016/s0306-4522(00)00019-1	horvitz (2000)
houk jc, 1995, models inform proces, p249	houk (1995)
hu lt, 1999, struct equ modeling, v6, p1, doi 10.1080/10705519909540118	hu (1999)
iglesias s, 2013, neuron, v80, p519, doi 10.1016/j.neuron.2013.09.009	iglesias (2013)
ito s, 2003, science, v302, p120, doi 10.1126/science.1087847	ito (2003)
james w., 1890, principles psychol	james (1890)
jessup rk, 2010, j neurosci, v30, p3467, doi 10.1523/jneurosci.4130-09.2010	jessup (2010)
jocham g, 2011, j neurosci, v31, p1606, doi 10.1523/jneurosci.3904-10.2011	jocham (2011)
joel d, 2002, neural networks, v15, p535, doi 10.1016/s0893-6080(02)00047-3	joel (2002)
kable jw, 2007, nat neurosci, v10, p1625, doi 10.1038/nn2007	kable (2007)
kahneman d, 1979, econometrica, v47, p263, doi 10.2307/1914185	kahneman (1979)
kahneman d, 2011, thinking fast slow	kahneman (2011)
kakade s, 2002, neural networks, v15, p549, doi 10.1016/s0893-6080(02)00048-5	kakade (2002)
kalmuss d, 1992, j marriage fam, v54, p516, doi 10.2307/353238	kalmuss (1992)
kamin l. j, 1969, punishment aversive, p279	kamin (1969)
kamin l. j., 1968, miam s pred beh av s, p9	kamin (1968)
kanai r, 2015, philos t r soc b, v370, p69, doi 10.1098/rstb.2014.0169	kanai (2015)
kapur s, 2003, am j psychiat, v160, p13, doi 10.1176/appi.ajp.160.1.13	kapur (2003)
kass re, 1995, j am stat assoc, v90, p773, doi 10.1080/01621459.1995.10476572	kass (1995)
kennerley sw, 2006, nat neurosci, v9, p940, doi 10.1038/nn1724	kennerley (2006)
kennerley sw, 2009, j cognitive neurosci, v21, p1162, doi 10.1162/jocn.2009.21100	kennerley (2009)
kenny d. a., 2006, dyadic data anal	kenny (2006)
kerns jg, 2004, science, v303, p1023, doi 10.1126/science.1089910	kerns (2004)
kiebel sj, 2008, plos comput biol, v4, doi 10.1371/journal.pcbi.1000209	kiebel (2008)
kilner james m, 2007, cogn process, v8, p159, doi 10.1007/s10339-007-0170-2	kilner (2007)
kim h, 2006, plos biol, v4, p1453, doi 10.1371/journal.pbio.0040233	kim (2006)
kindt m, 2009, nat neurosci, v12, p256, doi 10.1038/nn.2271	kindt (2009)
king-casas b, 2005, science, v308, p78, doi 10.1126/science.1108062	king-casas (2005)
klein ta, 2007, science, v318, p1642, doi 10.1126/science.1145044	klein (2007)
klucharev v, 2009, neuron, v61, p140, doi 10.1016/j.neuron.2008.11.027	klucharev (2009)
knill dc, 2004, trends neurosci, v27, p712, doi 10.1016/j.tins.2004.10.007	knill (2004)
knowlton bj, 1996, science, v273, p1399, doi 10.1126/science.273.5280.1399	knowlton (1996)
knutson b, 2001, j neurosci, v21, doi 10.1523/jneurosci.21-16-j0002.2001	knutson (2001a)
knutson b, 2001, neuroreport, v12, p3683, doi 10.1097/00001756-200112040-00016	knutson (2001b)
knutson b, 2005, curr opin neurol, v18, p411, doi 10.1097/01.wco.0000173463.24758.f6	knutson (2005b)
knutson b, 2005, j neurosci, v25, p4806, doi 10.1523/jneurosci.0642-05.2005	knutson (2005a)
kok p, 2012, cereb cortex, v22, p2197, doi 10.1093/cercor/bhr310	kok (2012b)
kok p, 2012, neuron, v75, p265, doi 10.1016/j.neuron.2012.04.034	kok (2012a)
konorski j., 1967, integrative activity	konorski (1967)
koster-hale j, 2013, neuron, v79, p836, doi 10.1016/j.neuron.2013.08.020	koster-hale (2013)
kreussel l, 2012, psychophysiology, v49, p207, doi 10.1111/j.1469-8986.2011.01291.x	kreussel (2012)
kruschke jk, 1992, psychol rev, v99, p22, doi 10.1037/0033-295x.99.1.22	kruschke (1992)
kruschke jk, 2005, j exp psychol learn, v31, p830, doi 10.1037/0278-7393.31.5.830	kruschke (2005)
kumar p, 2008, brain, v131, p2084, doi 10.1093/brain/awn136	kumar (2008)
kutas m, 1980, science, v207, p203, doi 10.1126/science.7350657	kutas (1980)
kutas m, 1984, nature, v307, p161, doi 10.1038/307161a0	kutas (1984)
kutas m, 2000, trends cogn sci, v4, p463, doi 10.1016/s1364-6613(00)01560-6	kutas (2000)
kutas m, 2011, annu rev psychol, v62, p621, doi 10.1146/annurev.psych.093008.131123	kutas (2011)
lau b, 2005, j exp anal behav, v84, p555, doi 10.1901/jeab.2005.110-04	lau (2005)
lawson rp, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00302	lawson (2014)
lazarus rs, 1984, stress appraisal cop	lazarus (1984)
le pelley me, 2004, q j exp psychol-b, v57, p193, doi 10.1080/02724990344000141	le (2004)
lee jlc, 2006, j neurosci, v26, p10051, doi 10.1523/jneurosci.2466-06.2006	lee (2006)
lee jlc, 2009, trends neurosci, v32, p413, doi 10.1016/j.tins.2009.05.002	lee (2009)
lee sw, 2014, neuron, v81, p687, doi 10.1016/j.neuron.2013.11.028	lee (2014)
lee ts, 2003, j opt soc am a, v20, p1434, doi 10.1364/josaa.20.001434	lee (2003)
li j, 2011, nat neurosci, v14, p1250, doi 10.1038/nn.2904	li (2011)
lisman je, 2005, neuron, v46, p703, doi 10.1016/j.neuron.2005.05.002	lisman (2005)
liu x, 2011, neurosci biobehav r, v35, p1219, doi 10.1016/j.neubiorev.2010.12.012	liu (2011)
ljungberg t, 1992, j neurophysiol, v67, p145	ljungberg (1992)
logan gd, 1988, psychol rev, v95, p492, doi 10.1037/0033-295x.95.4.492	logan (1988)
lohrenz t, 2007, p natl acad sci usa, v104, p9493, doi 10.1073/pnas.0608842104	lohrenz (2007)
